,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p,32_n,32_p,33_n,33_p,34_n,34_p,35_n,35_p,36_n,36_p,37_n,37_p,38_n,38_p,39_n,39_p,40_n,40_p,41_n,41_p,42_n,42_p,43_n,43_p,44_n,44_p,45_n,45_p,46_n,46_p,47_n,47_p,48_n,48_p,49_n,49_p,50_n,50_p,51_n,51_p,52_n,52_p,53_n,53_p,54_n,54_p,55_n,55_p,56_n,56_p,57_n,57_p,58_n,58_p,59_n,59_p,60_n,60_p,61_n,61_p,62_n,62_p,63_n,63_p,64_n,64_p,65_n,65_p,66_n,66_p,67_n,67_p,68_n,68_p
77,NFIB,0.0,SH3BGRL3,0.0,CNOT6L,0.0,DNAJB4,0.0,LMNA,0.0,GMPR,0.0,SLC1A5,0.0,MAFB,0.0,AGR2,0.0,PHLDA1,0.0,PRKAR2B,0.0,KLF4,0.0,ITGA2,3.210894226645023e-13,IKZF3,3.269321929919706e-144,PIK3R1,1.8274717057177025e-159,MAOB,1.22210449504392e-262,COL6A3,0.0,GRN,2.166463101179472e-286,PFN1,4.220927542148024e-118,GMFG,6.906483712038433e-174,VEGFA,5.85777724769512e-168,TNFRSF1B,5.719656470117611e-137,PTPN22,1.8788496819824284e-11,ADI1,9.466297910871094e-157,MYL6,0.039667608102858846,MEF2C,7.700525563443301e-128,MNDA,1.4538194715736734e-19,ALDH1A3,2.756995755518168e-15,CST3,8.712216601397647e-18,SELENOP,3.342319222937456e-141,PPFIBP1,3.211609182634499e-11,AMD1,8.071757216621041e-43,CYBB,6.006506806152555e-19,SEC61B,4.912428661941444e-41,PSAP,3.8757574630624687e-38,RGS2,9.039161128085019e-23,TST,7.191631071264017e-76,FAM177A1,4.287972540861801e-31,PRDX4,5.067344921163085e-32,ABHD2,9.937571029791294e-18,SNHG25,5.732267438574452e-31,RAMP2,8.98907925567992e-29,HLA-DOB,0.001208031871549805,IL1RN,1.1401932768423603e-10,NFIB,5.523902302233528e-26,CPVL,2.4400570173845987e-09,HIST1H1C,3.958462426020223e-24,SDS,4.297163751110905e-14,SPOCK1,2.3509364663795908e-07,MYL6,7.351381797894109e-11,PERP,1.6403426797085722e-09,H2AFJ,1.2583819911790416e-10,HSPA5,4.963984142282908e-08,GNAS,8.157540367598834e-05,AIF1,3.403821113417208e-06,H2AFJ,9.133165589953206e-05,COX6A1,2.721278382156718e-05,ASAH1,1.0010058282904943e-08,GM2A,1.0405519579121373e-09,PAK1IP1,4.4605920855671754e-07,MGST1,5.781203560457428e-10,IFITM2,0.0004918615084869091,PTMA,0.047565596406513366,RPL39,6.597956040729e-05,KDM6B,8.403479683583401e-05,MSMB,6.487782520211452e-06,MRPL57,0.0001156500734419039,PTX3,1.6839042031246696e-07,MPC2,3.479246823960999e-05
78,CD59,0.0,EEF1A1,0.0,STK17B,0.0,LAPTM5,0.0,CRYAB,0.0,RDH11,0.0,GPRC5A,0.0,LYN,0.0,GAPDH,0.0,GAS6,0.0,PDE5A,0.0,HEG1,0.0,ITGB8,3.342419796769151e-13,CCL5,1.3179055851009856e-143,IKZF3,2.4197738660276863e-157,ALOX5,1.213229222229696e-257,PODN,0.0,MAFB,1.296832089141372e-284,GZMM,1.53988460853624e-117,SH3KBP1,4.330984290216687e-172,MPC2,7.465854999500701e-168,IKZF1,1.467074525771471e-136,FYB1,2.374375745875791e-11,TMED2,1.841578500357204e-154,AC010883.3,0.04846161140543273,RPS15,1.321282041066367e-126,RPS24,1.627736903445505e-19,RPLP0,4.112055120236867e-15,CXCL3,5.166777135734495e-17,KRT8,4.511510047272538e-140,STAT3,3.424276098698394e-11,TMSB15A,1.3276551829312399e-42,MNDA,6.650842916992167e-19,CRABP2,1.3037453555314906e-40,NTM,5.569585755122396e-38,RNASE6,1.5322672275365705e-22,CLDN7,1.2738990593219302e-75,JAK1,4.9525262717476215e-31,CAMKK2,8.092282319599059e-32,CFAP69,1.226303429398584e-17,COX7A2,5.764450004127732e-31,TIMP2,2.6707291577283582e-28,CTSS,0.0013374079381608772,ANXA5,1.245589316740262e-10,PRSS23,5.624492933761818e-26,C1orf54,2.677902746138394e-09,C19orf70,4.055689865995218e-24,AC092069.1,5.102485842190587e-14,CD24,2.5653261772089513e-07,ELOC,8.32683781903287e-11,NDUFC1,1.9365941921609383e-09,BCL2A1,1.4010568352746637e-10,MYL12B,5.16901602980038e-08,FGGY,8.431372793985618e-05,SDS,3.4799103460954724e-06,CD99,9.391613650465028e-05,HIST1H1C,4.820608601077677e-05,HSD17B6,1.3494014725776422e-08,ACPP,1.2249640530527772e-09,JUN,4.885081816290254e-07,OR51E2,6.618692037197903e-10,MSR1,0.0005481904300872162,ATF3,0.04928621203638216,SERF2,6.630805151488233e-05,KRT5,8.446884487100735e-05,SAT1,6.870938890567912e-06,SFN,0.00012650157346319064,GTF3A,1.7544500771974136e-07,NUPR1,3.8778737454353104e-05
79,DIPK2B,0.0,CD40LG,0.0,LINC01871,0.0,ITGA1,0.0,PRAC1,0.0,SPINT1,0.0,JUP,0.0,MS4A4A,0.0,MT1E,0.0,SEPTIN11,0.0,COL6A1,0.0,NPDC1,0.0,ATP6V1C2,2.459502778857936e-12,ID2,1.7543675430718642e-142,PYHIN1,7.078207800094885e-156,NFKBID,4.572665744932769e-257,FN1,0.0,MNDA,4.518377727104534e-284,PLAAT4,1.7526112083715575e-115,BIRC3,5.934920481760145e-170,HSD17B6,7.65172280392737e-168,CLIC3,6.418354554717109e-135,ARAP2,4.882262007625482e-11,TPD52,1.3394497524971774e-153,JUN,0.06190124857109492,SPIB,3.4274669043413158e-124,KRT17,3.7286874981651126e-19,PARK7,1.1847271143545192e-14,CCL2,3.1893990981830993e-16,PRDX5,1.5323656066318486e-139,ADGRF5,3.691391855988941e-11,SPDEF,1.4703506946782894e-42,RPS16,8.334112906059095e-19,HSD17B4,1.2106112304530898e-39,COL21A1,7.619186626858697e-38,LCP1,1.5365191534076286e-22,KLK2,2.0015539528593984e-75,DUSP4,7.369422536876808e-31,SPOCK1,1.5776004675820056e-31,TNFRSF19,1.4172359812033704e-17,ATP5MF,7.4894711718523224e-31,GJA1,3.0651376549490414e-28,LY9,0.0013784134429490936,C5AR1,1.2834264320687461e-10,PLA2G16,5.88338879183081e-26,RHOB,3.568148616890164e-09,SPDEF,5.062983488671931e-24,GSTO1,5.731913193535086e-14,ARG2,2.8334030097934434e-07,SGK1,8.458110684589171e-11,KLF5,2.0093951815793067e-09,FABP5,2.2730332563673989e-10,PHLDA2,6.407233313515654e-08,LMOD2,8.753748685409966e-05,RAP2B,4.302003054650485e-06,IFI6,9.55193000843107e-05,MPC2,5.17629341709694e-05,MESP1,1.4190141826203942e-08,RASSF4,1.3458954888427307e-09,XAB2,5.049788243654201e-07,AC117453.1,8.751561953124784e-10,GADD45B,0.0005600011792803504,RPL7A,0.05242486105041486,CCL5,6.851131345697364e-05,ZBTB44,0.00010122103504870073,KRT18,6.981703902671885e-06,MIPEP,0.00013356898667298765,CD1C,1.9984192308354276e-07,BASP1,4.779094075841662e-05
80,MMRN2,0.0,PIK3IP1,0.0,PARP8,0.0,ALOX5AP,0.0,HSPA5,0.0,ARFGAP3,0.0,PBX1,0.0,C1orf162,0.0,CCL4,0.0,EPB41L2,0.0,PRRX1,0.0,CALCRL,0.0,ITM2B,3.453537251688713e-12,BCL11B,2.7539636532115133e-142,ITGB2,9.023732533680733e-155,RGS2,9.665236869464927e-254,LAPTM4A,0.0,CFD,7.897596076050863e-283,PYHIN1,1.0745234752096519e-109,PIK3IP1,1.0111131409896778e-168,FOXA1,8.504199541924014e-168,PIP4K2A,5.573958430864209e-134,SLC38A2,1.040425795354215e-10,TCIM,1.6390735999659026e-153,GJA4,0.06207658908205064,FKBP4,3.6059001891801944e-123,CALHM6,6.119673912029144e-19,AMD1,4.184764818744366e-14,IL6,4.598152028993797e-16,AFDN,7.989937289206268e-139,HERC2,3.7898636530163255e-11,ZFP36,2.1326760887933936e-42,HLA-DMB,1.2572095260339478e-18,CLDN3,3.192015957269588e-39,RHOC,8.294544071706475e-38,PLAUR,1.7288105709320016e-22,TXNDC5,2.1728729112355278e-75,SKIL,7.643407022579721e-31,ABHD2,3.2366174336944674e-31,DNAH7,1.477950627236206e-17,APOE,8.96150370488434e-31,CD63,5.339438271701146e-28,SLAMF1,0.0018569609488538802,TFRC,2.3527266760019773e-10,PTPRG,6.268040075503128e-26,GOLM1,3.576798684276377e-09,MAZ,5.1203211108891794e-24,PTMS,6.666176786698258e-14,EREG,2.863507505365099e-07,CLDN3,9.970561350954008e-11,C15orf48,2.6816253426605184e-09,RASGEF1B,2.452768722009038e-10,C1QC,7.907022343187715e-08,CAVIN4,9.046436785165619e-05,ATP6V1B2,4.967091328380638e-06,HIST1H4C,0.00010291077757790106,UQCR10,5.218325940759556e-05,HLA-DRB1,1.654257541149005e-08,CXCL9,1.3526805811764577e-09,SNHG25,5.282369868092871e-07,RPS17,8.903009188646027e-10,CALM1,0.0006769957267194182,IFITM3,0.053477132909301346,NACA,6.854137343732347e-05,ANXA1,0.00010439561323574556,GOLM1,7.06000351244232e-06,HLA-DPB1,0.00014547799820686315,TYROBP,2.079308511934182e-07,SYAP1,5.084932268744552e-05
81,LMO2,0.0,RPS28,0.0,CHORDC1,0.0,TRG-AS1,0.0,BTF3,0.0,TMEM238,0.0,BLVRB,0.0,IL13RA1,0.0,KRT8,0.0,GGT5,0.0,PLAC9,0.0,PTTG1IP,0.0,LAMB3,5.210600395996259e-12,RPLP1,1.938159702925074e-136,TNFSF9,4.627426258826967e-150,RHOH,6.023237295654646e-252,CD81,0.0,CD44,7.160309037519253e-281,KRT86,1.8459124937812888e-109,BCL11B,1.3051162143970283e-167,ADI1,2.723980794728503e-162,MYBL1,8.282098419272692e-134,CCL5,1.3314390773080495e-10,CKB,4.3580384692810336e-153,NDUFA4L2,0.07592288634780484,RPS21,9.95128309747907e-123,MIR155HG,8.212036393321526e-19,NACA,4.462209049060939e-14,TSC22D1,4.663080192887837e-16,ACTB,8.057646978587416e-139,MRTFB,7.226911342966217e-11,SMIM22,2.4010751850784347e-42,C1orf162,4.9172536430914314e-18,RRBP1,3.498218374789008e-39,ITIH5,1.5954506701346321e-37,PPA1,1.968539709277143e-22,AP003498.2,3.1339704146268404e-75,PABPC1,3.832861819877673e-30,TMSB15A,6.806166516074134e-31,CD24,1.574603630973266e-17,PEBP4,9.9518889088343e-31,SEMA6A,7.339921813913533e-28,MAN1A1,0.0019989495113293216,SERPINB9,3.100231920532441e-10,NRP1,6.28523914580452e-26,XBP1,4.369242577115672e-09,FBP1,5.175278253546525e-24,MFSD12,8.270851350015092e-14,EGR1,2.968506227633275e-07,MAFB,1.519047714529444e-10,CD69,5.106180133450436e-09,KLK2,2.769733649417767e-10,SOX9,1.1023877546176507e-07,CCL5,9.310174546718348e-05,HES4,4.994520748816353e-06,DYNLL1,0.0001227557652406925,TMEM59,5.964250227336324e-05,ZFAND5,1.9969333196870414e-08,SPI1,1.4428884356709753e-09,NEFH,5.314469077673663e-07,PDLIM5,9.468324992077447e-10,C15orf48,0.000913349683805441,DES,0.0553100823137129,EEF1A1,7.73306940937384e-05,PAGE4,0.00011001923648357599,SOX4,7.539174179671775e-06,RGS2,0.00016291480766581818,RPL19,2.10362047747566e-07,RNF152,5.791626290939251e-05
82,STOM,0.0,FAU,0.0,HMGB2,0.0,LCK,0.0,NTN4,0.0,ANKH,0.0,RAB25,0.0,SAT1,0.0,CALR,0.0,COL1A1,0.0,CNN1,0.0,LIMCH1,0.0,MARCKS,5.469803013746731e-12,TTC39C,4.8182527144072403e-135,GIMAP7,9.796112319178622e-150,RPL9,1.5421407412073888e-250,HELLPAR,0.0,ATP5F1E,2.4040839714128262e-279,JAK1,1.8673912025610036e-109,ARPC1B,2.3295193574452747e-167,MTRNR2L8,5.865518812841537e-155,FYN,3.4716187924729704e-133,BICDL1,3.4607627409848073e-10,GNMT,8.679337276639409e-151,HLA-A,0.08303862742106244,LY9,2.848006798361106e-121,IL1A,1.4522697701540785e-18,RPL11,8.498334159786734e-14,HSPH1,7.421411986405943e-16,PALLD,1.403284403171422e-136,IFRD1,7.857620387375992e-11,CLDN4,5.12248789192982e-42,GPR34,4.957424085383763e-18,DAD1,5.2086639129135364e-39,PON2,1.7904593351705575e-37,CTSS,2.6701542763425353e-22,ALOX15B,4.506939770962355e-75,CD3E,3.872099509544149e-30,EPCAM,1.0603240248209794e-30,WEE1,1.6371134837412425e-17,GADD45G,1.3266200154928933e-30,PTMS,8.070897228992853e-28,SELENOS,0.00213928587718112,CAVIN2,3.456873736521339e-10,ARHGAP29,6.388130575061406e-26,DNASE1L3,6.553292469411406e-09,NME4,5.283864854374594e-24,AC020656.1,9.789702222258374e-14,NLRP3,3.391683916341881e-07,SOX4,1.655191586374128e-10,PSME2,5.720731463706424e-09,MS4A6A,2.8012339797468023e-10,SPINT2,1.1510348661040578e-07,IGFBP7,0.00011691413878497062,GOLGB1,5.5291805321234725e-06,RPL30,0.00013562641435842265,SPOCK1,6.0754126693581585e-05,TRGC1,2.060184128536614e-08,SLC1A3,1.4796322734480548e-09,CREB3L4,6.21239528388549e-07,CXCL8,1.096078460049042e-09,IFIT3,0.0011030325264287846,RPL12,0.056472666718700305,RPS28,8.444552969792759e-05,FRMD4B,0.00013050100899706196,CEBPD,8.037218117878547e-06,DUSP1,0.00016611053602729397,RPS7,2.2247326012533652e-07,CTNNB1,5.950230187757034e-05
83,IFITM2,0.0,KLRB1,0.0,CLEC2D,0.0,CD53,0.0,ALDH3A2,0.0,CYB561,0.0,RPLP1,0.0,PLAUR,0.0,LRRC26,0.0,C1S,0.0,ARHGAP10,0.0,RAC1,0.0,ATF3,1.0605998025951103e-11,HLA-E,8.676006853457226e-133,DUSP1,2.163207506674639e-149,CPM,6.381546205709763e-250,RAB34,0.0,NFKBIA,3.0946902115392945e-279,BCO2,6.007963090279204e-108,CD28,1.813962119313371e-166,NUDT8,2.8773739892378263e-154,IFITM2,2.6063788503434763e-132,HSPA6,7.271206905744567e-10,SSR4,1.724493289264825e-150,SAMSN1,0.08349156020672012,RPL10A,1.1426025807666099e-120,FCGR3A,1.4906533029932915e-18,SEC61B,9.065670325204983e-14,HLA-DRB5,8.122808124367403e-16,RGS12,4.751681096937518e-134,SPARCL1,9.590251485007087e-11,DCXR,3.127310961532184e-41,RNF130,9.554116773616334e-18,HM13,7.832944058620114e-39,TGFBR2,2.255548294805832e-37,ID2,8.047363195230965e-22,ECHS1,7.036819762360604e-75,RPS3,1.1278571701069323e-29,AMACR,2.8885052625498985e-30,CFAP54,2.152853299829384e-17,MSMB,1.405803158967965e-30,TCF4,1.030615526149823e-27,KIAA1551,0.0021429135627544006,NFKB1,3.5616457534298253e-10,CYYR1,7.181429708817407e-26,SLC2A12,7.938192426141275e-09,TSPAN1,6.596577026265797e-24,CEP55,1.082200145339686e-13,MAFB,3.770278845688663e-07,ITGB2,2.692785067247315e-10,IFITM3,6.176722315055186e-09,ATP13A3,2.8097960679854454e-10,SPP1,1.1878198130209078e-07,ATP5ME,0.0001444475955631704,HSPA5,6.2736111047908925e-06,LAPTM4A,0.0001866992874415698,PRSS23,6.337414267598314e-05,AREG,2.061146527465367e-08,PPP3CA,1.6561787659260452e-09,HSD17B6,6.476239167715685e-07,RPL36,1.2015172784921737e-09,ATP5PD,0.0011152207133123442,CAVIN1,0.058586271009479184,FXYD3,9.365297751249947e-05,KRT8,0.0001337994677108972,SERP1,8.444831470586309e-06,IFI30,0.00016701124790516455,TCIM,2.2550392623152997e-07,COX4I2,5.950837555423501e-05
84,ARHGAP29,0.0,RPL27,0.0,LINC-PINT,0.0,RPL28,0.0,RPS9,0.0,TMPRSS2,0.0,ATP1B1,0.0,BCL2A1,0.0,HEBP2,0.0,KCNE4,0.0,CALM2,0.0,TGFBR2,0.0,STC1,1.8665758801452474e-11,CELF2,5.546118665140906e-132,RPLP2,9.132138387792711e-149,LMO4,1.0608295720894713e-249,MFAP4,0.0,SNX10,6.027545080083804e-277,RESF1,1.0500853767472586e-107,HLA-C,5.437987896923623e-165,SORD,1.2055107362273565e-152,STK4,6.708141434259163e-131,GBP5,6.302848485059315e-09,KLK4,2.2997185077126748e-148,RERGL,0.09193923622365294,EEF1A1,3.761024099081228e-120,ACPP,1.9648480044290513e-18,SMCO4,9.832307701221468e-14,ADAMTS4,1.1124387497284666e-15,TP53BP2,8.038993925374668e-132,MT-ATP8,1.0025344617761429e-10,C11orf96,6.297509906122659e-40,MSR1,1.411847468701389e-17,FBP1,1.7826547931710036e-38,HSPA12A,5.414282163737364e-37,MNDA,1.4941144203677215e-21,HIST1H2AC,1.3009730187950983e-74,WIPF1,1.9235738323179355e-29,SLC44A4,6.78601839064869e-30,CAPSL,2.570860019820773e-17,EIF5A,1.434173704505032e-30,TIE1,1.5388344683986696e-27,TMEM19,0.00218421337220017,CTSL,4.2708265940277306e-10,RAMP3,8.234633491183341e-26,MIF,8.60240929987711e-09,GREB1,6.801691265258526e-24,SEC11C,1.3895375687159554e-13,RGS1,4.877429697304074e-07,BCL2A1,3.0669872566221815e-10,SPON2,6.261014919754537e-09,CSTB,4.2780233860502167e-10,MT1E,1.495651059109105e-07,H3F3B,0.00014482939444490766,RALA,6.587156513928572e-06,GNLY,0.0001888843121891061,ZG16B,7.310370139524057e-05,GDF15,2.075022963951884e-08,HLA-DMA,2.014097970192446e-09,PLK2,6.794075147876823e-07,ZNF532,1.222422123900009e-09,STC1,0.0011605094593163565,GNAS,0.060694231722113356,NUDT8,9.441514736281009e-05,NEDD4L,0.0001365708116893974,XBP1,8.530830201849605e-06,PHLDA2,0.00016902283764980058,RPL37A,2.3183231148644705e-07,FRZB,6.502911458552553e-05
85,ACKR1,0.0,RPS20,0.0,METRNL,0.0,PIK3IP1,0.0,ID4,0.0,XBP1,0.0,C1orf21,0.0,TGFBI,0.0,SERF2,0.0,TNS1,0.0,PALLD,0.0,LDB2,0.0,MPZL2,2.70606228949738e-10,SRSF7,2.5096417631793914e-131,MALAT1,3.885846820141159e-145,TNIK,7.008553382354632e-249,NOVA1,0.0,AQP9,1.458944419110975e-273,CMC1,1.3250218288456273e-106,CD44,5.808257853221569e-165,DSTN,1.6064218131988822e-151,KLRF1,2.146173261379837e-130,IFNG,7.677323882577052e-09,USP54,2.931383305116172e-148,KLF6,0.10735336640182071,CD55,5.12056698343605e-119,CD68,9.111579938874517e-18,RPS18,1.3219178556319897e-13,CPE,2.006280600173892e-15,SLC20A2,8.408436035287109e-132,HES1,1.7115375300742308e-10,AGR2,2.0674011104378633e-39,RPL26,1.9721905178543683e-17,ALDH1A1,4.758102173592956e-38,PHLDA3,6.1687325813570064e-37,EMP3,1.8315836324490284e-21,PRAC2,4.906763511694965e-74,LDLRAD4,2.7220852014587205e-29,ALOX15B,7.111390805754021e-30,PRUNE2,2.5873950560164637e-17,ANKRD37,1.565570045942284e-30,LOX,3.350494844083185e-27,DDOST,0.002607966056767987,S100A9,4.4064528130196046e-10,CASKIN2,8.893280296765202e-26,CAVIN2,1.2905789886591262e-08,HOMER2,8.124810780857456e-24,PKM,3.414277908751139e-13,FCER1G,5.836859745500739e-07,SMIM25,3.19655455335806e-10,MARCKSL1,7.974479428082585e-09,RAB7A,4.4599087307099294e-10,SLC2A12,1.4986952294534072e-07,RGCC,0.000152883384335975,MT-CYB,7.451339263564417e-06,MXRA7,0.00020515558192722645,ABCC4,7.316765646240597e-05,TYROBP,2.3504666783545598e-08,C15orf48,2.2404889635992046e-09,TMPRSS2,7.124913244759301e-07,RPL41,1.3940282263472397e-09,YWHAH,0.0012557532450951584,GNLY,0.07092671585391543,RPL36,9.884665054832204e-05,UBC,0.00016137877661384048,MIF,9.111246548481622e-06,FCER1G,0.00019195137621440362,ATP1B3,2.3468842299023296e-07,PHLDA2,6.588995908202454e-05
86,TIMP3,0.0,RPL41,0.0,SMCHD1,0.0,RPLP2,0.0,PCDH7,0.0,SERINC5,0.0,CDKN1C,0.0,ITGAX,0.0,COX6A1,0.0,RCAN2,0.0,AOC3,0.0,ETS2,0.0,ADAMTS1,3.4815923395349986e-10,PPP1R15A,3.2855112547651437e-131,ARL4C,6.30825837004285e-145,RPL34,1.1953399145143849e-238,NFIX,0.0,NINJ1,1.7219038407027279e-273,CD48,1.3305966498759793e-105,PPP1R2,1.656880327988403e-162,ELF3,2.360739220495861e-151,ARHGDIB,6.097417105440681e-129,ANKRD12,8.47589314065613e-09,SNHG25,4.071079922560828e-145,MAF,0.11112613288671055,HSPE1,1.8972235943130104e-117,CLEC7A,2.2716238621978985e-17,LTF,3.160775451331532e-13,CCL20,2.4298833771362414e-15,HMGA1,1.3823642693083678e-130,FOSB,2.0104056553481892e-10,MPC2,8.646285206088425e-39,RPLP1,2.2065110145341446e-17,FKBP11,7.060284033364038e-38,SPP1,6.4674245279117615e-37,LY86,1.8555603322053206e-21,AL136038.5,4.9438622098969915e-74,BZW1,3.4194957259386556e-29,CKB,3.1020286660844045e-29,SPAG6,3.9585268473147966e-17,SYNGR2,2.3060357856923847e-30,TIMP3,4.123304812864175e-27,CD79B,0.0026228040516511155,AREG,5.117032485387973e-10,EPAS1,9.566920482167567e-26,CYP51A1,1.3669620397871715e-08,ACAT2,8.241127818295142e-24,PLEKHO1,3.4402234108660977e-13,TRPM4,6.013461898342961e-07,KLK2,5.326680536518985e-10,PITX1,9.131204010322387e-09,HLA-DMA,6.962498582399827e-10,TNFAIP8,1.6533801972205685e-07,TFF3,0.00015615576064495812,MXD1,7.470581369021658e-06,ACPP,0.00023430194311550628,NDUFA1,7.52276368712609e-05,MANF,2.414551466672033e-08,FCGR2A,2.3567581721766893e-09,ABCC4,7.237868177302418e-07,FKBP3,1.5373078370737336e-09,MAF,0.001393304594764115,IL32,0.0719670243675907,LY6E,9.997246838738172e-05,TES,0.00016266896404736929,HIST1H1C,9.843173101392206e-06,LYPD3,0.0001926291031640789,RPL35A,2.6503202897906874e-07,FABP5,6.888215611201082e-05
87,VAMP5,0.0,EVI2B,0.0,MYADM,0.0,STK17B,0.0,KRT23,0.0,TMEM205,0.0,S100A2,0.0,SERPINB9,0.0,RPS28,0.0,CEBPD,0.0,DBNDD2,0.0,CD59,0.0,ITGA6,8.539033585081285e-10,CCR6,2.750722305554581e-130,IKZF1,8.133082877746285e-143,FER,2.8998089881661126e-238,PAGE4,0.0,IL1RN,8.382963175156472e-270,TMSB4X,2.2383261160796357e-105,LAIR2,7.532529605021126e-162,CCN1,2.619887411662201e-151,TGFB1,3.524796584263667e-128,AC016831.5,2.4867585517176528e-08,IGF1,1.2083674266240363e-144,KLRB1,0.1323849595493999,RPS28,4.281076770118076e-117,H3F3A,4.3187396228213387e-17,HOMER2,5.030966308844347e-13,CALD1,6.654784574017306e-15,ACTN4,5.048246251998407e-130,DOCK4,2.918355400452521e-10,SPOCK1,3.498436014579636e-38,FCGR3A,5.111985441493017e-17,SLC26A2,9.522367069518563e-38,AP1S2,1.0679390687762058e-36,HSPA6,4.1331727635311165e-21,ACSL3,1.24674279499828e-73,SEPTIN7,5.131364851903172e-29,CREB3L4,7.625317259404764e-29,NUDC,6.98815675876657e-17,PRSS8,8.221721324917767e-30,SHC1,4.850957668704024e-27,HAGH,0.0028147214270076103,ACPP,5.274994087102992e-10,VAMP5,1.163260298212986e-25,ZFAND2A,1.6074993709117433e-08,MT-ATP6,9.052447093630866e-24,ACTG1,3.698751675394552e-13,CLDN4,7.309039869839706e-07,ENO1,7.214472960376527e-10,HMGN1,9.496903482087878e-09,HSP90B1,9.384093025304014e-10,DDIT3,1.674674615177166e-07,MEF2C,0.00020002975243092253,RPL39,8.918489795937815e-06,RGCC,0.0002654970450993433,PLA2G2A,8.132647863268823e-05,NFKBIA,2.4387120865605955e-08,IL1RN,2.6424208086393836e-09,SNHG12,8.500875288649098e-07,ZNF217,1.7515404304794543e-09,CAVIN2,0.0014239886191834662,NACA,0.08429905196499667,TIMP1,0.00010534231256236361,HSPA5,0.00029906513796806324,PTMS,1.0895463001566357e-05,CD69,0.000194576097865105,RPL6,2.663198878964059e-07,TPM1,7.529816998426268e-05
88,HLA-DRA,0.0,GMFG,0.0,MCL1,0.0,ARL4C,0.0,SBDS,0.0,CAB39L,0.0,HSPA4L,0.0,PYCARD,0.0,SNHG29,0.0,PLAC9,0.0,TBX2,0.0,CD74,0.0,LIMA1,9.700059115915919e-10,PTPN22,8.77785991143299e-130,PARP8,2.2278924775032565e-142,FTL,1.0200602058571177e-235,MFGE8,0.0,UPP1,8.544079340389228e-270,TSPYL2,3.4312816465098035e-105,IPCEF1,1.4302004040488808e-161,SPINT2,1.0538205753001582e-150,HOPX,6.354627547866122e-128,KLF6,2.541494571556467e-08,SPDEF,2.948109136194437e-144,SAT1,0.13912197646312788,GPBP1,1.012255897546237e-116,RGS2,4.979909702039899e-17,NANS,1.079015118647152e-12,CDKN1A,1.7400168808408924e-14,SDC4,1.2033535008664448e-129,ARHGAP29,3.2418894985457753e-10,XBP1,8.795566579713822e-38,ARPC5,6.672959870739668e-17,LRRC26,1.870027654221787e-37,TUBB2B,3.167992961945775e-36,SERPINB9,5.449481727345221e-21,TM7SF2,2.2377358111323824e-73,SLA2,6.493104821144267e-29,FOXA1,1.5818457374664297e-28,DNAAF1,7.372590168051876e-17,SPINT2,8.360336554941782e-30,TSPAN5,9.437469855898353e-27,HSP90B1,0.002920417002197637,CD68,5.784523204630172e-10,TCF4,1.2022707789351713e-25,RPS26,2.002966721541734e-08,FSTL1,9.065311497852313e-24,CTSZ,4.1215322310425043e-13,TMC5,8.005219584813591e-07,TREM2,7.703084216324808e-10,CTNNB1,1.503592589753001e-08,HHEX,1.2167195863803149e-09,CXCL11,2.1779683712779654e-07,AK1,0.00020903548020184985,RPS8,1.1084574142864784e-05,IFNG,0.00027053496145573654,TMED2,8.351843549812207e-05,CD74,3.0316126335194044e-08,SAT1,2.936537276605957e-09,ATF3,8.515322536627558e-07,ACPP,1.7886937955184e-09,AIF1,0.0014841870176340267,ARID5B,0.08611209779752538,IFNG,0.00010751123274951727,CCNL1,0.0003269361620429208,AMD1,1.1967458744102785e-05,HLA-DRA,0.00020028949086845204,AZGP1,3.083495289351782e-07,SOD3,7.95334264281537e-05
